opcode,lcs_source_command,vcs_target,vcs_target_function,vcs_descriptor,vcs_local_offset,vcs_selector,status
1372,COMMAND_SET_UP_TAXI_SHORTCUT,,,,,,LCS_SOURCE_ONLY
1373,COMMAND_CLEAR_TAXI_SHORTCUT,,,,,,LCS_SOURCE_ONLY
1374,COMMAND_SET_CHAR_OBJ_GOTO_CAR_ON_FOOT,,,,,,LCS_SOURCE_ONLY
1375,COMMAND_GET_CLOSEST_WATER_NODE,,,,,,LCS_SOURCE_ONLY
1376,COMMAND_ADD_PORN_LEAFLET_TO_RUBBISH,,,,,,LCS_SOURCE_ONLY
1377,COMMAND_CREATE_CLOTHES_PICKUP,,,,,,LCS_SOURCE_ONLY
1378,COMMAND_CHANGE_BLIP_THRESHOLD,,,,,,LCS_SOURCE_ONLY
1379,COMMAND_MAKE_PLAYER_FIRE_PROOF,,,,,,LCS_SOURCE_ONLY
1380,COMMAND_INCREASE_PLAYER_MAX_HEALTH,,,,,,LCS_SOURCE_ONLY
1381,COMMAND_INCREASE_PLAYER_MAX_ARMOUR,,,,,,LCS_SOURCE_ONLY
1382,COMMAND_CREATE_RANDOM_CHAR_AS_DRIVER,,,,,,LCS_SOURCE_ONLY
1383,COMMAND_CREATE_RANDOM_CHAR_AS_PASSENGER,,,,,,LCS_SOURCE_ONLY
1384,COMMAND_SET_CHAR_IGNORE_THREATS_BEHIND_OBJECTS,,,,,,LCS_SOURCE_ONLY
1385,COMMAND_ENSURE_PLAYER_HAS_DRIVE_BY_WEAPON,,,,,,LCS_SOURCE_ONLY
1386,COMMAND_MAKE_HELI_COME_CRASHING_DOWN,,,,,,LCS_SOURCE_ONLY
1387,COMMAND_ADD_EXPLOSION_NO_SOUND,,,,,,LCS_SOURCE_ONLY
1388,COMMAND_SET_OBJECT_AREA_VISIBLE,,,,,,LCS_SOURCE_ONLY
1389,COMMAND_WAS_VEHICLE_EVER_POLICE,,,,,,LCS_SOURCE_ONLY
1390,COMMAND_SET_CHAR_NEVER_TARGETTED,,,,,,LCS_SOURCE_ONLY
1391,COMMAND_LOAD_UNCOMPRESSED_ANIM,,,,,,LCS_SOURCE_ONLY
