# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x0271	0x00417ca0
0x0272	0x00417d08
0x0273	0x003d4c90
0x0274	0x003d4d00
0x0275	0x003d4d70
0x0276	0x00417dc8
0x0277	0x002d3e30
0x0278	0x00417e58
0x0279	0x0030fe60
0x027A	0x00184db8
0x027B	0x00184dd8
0x027C	0x00184df8
0x027D	0x00184e38
0x027E	0x003ddef8
0x027F	0x003d4e38
0x0280	0x00392148
0x0281	0x002d3ea0
0x0282	0x003913f8
0x0283	0x00391488
0x0284	0x00366e80
0x0285	0x00417ec8
0x0286	0x002d3ee0
0x0287	0x002d3f58
0x0288	0x003b24d8
0x0289	0x003b24e0
0x028A	0x0030ffd8
0x028B	0x002d3fd0
0x028C	0x00418230
0x028D	0x00287ec8
0x028E	0x003d4fb0
0x028F	0x002c0050
0x0290	0x003d5040
0x0291	0x00391518
0x0292	0x00100378
0x0293	0x0036cfd0
0x0294	0x003d50b8
0x0295	0x004182a0
0x0296	0x00184e58
0x0297	0x001003f0
0x0298	0x00418348
0x0299	0x003d5150
0x029A	0x004183d0
0x029B	0x00418488
0x029C	0x00182fa8
0x029D	0x00182fe8
0x029E	0x00183008
0x029F	0x0011d278
0x02A0	0x00366ec8
0x02A1	0x00366f20
0x02A2	0x00366f68
0x02A3	0x003d5248
0x02A4	0x00391588
0x02A5	0x00418508
0x02A6	0x00418588
0x02A7	0x004186a0
0x02A8	0x00418788
0x02A9	0x00391660
0x02AA	0x00366fa8
0x02AB	0x002d4070
0x02AC	0x00310060
0x02AD	0x00333f60
0x02AE	0x00418880
0x02AF	0x004189a0
0x02B0	0x003b2630
0x02B1	0x003dc7d8
0x02B2	0x003dc960
0x02B3	0x003d52c0
0x02B4	0x00287f10
0x02B5	0x00333fb0
0x02B6	0x00418ac0
0x02B7	0x00418b68
0x02B8	0x00418bf8
0x02B9	0x003d5310
0x02BA	0x00418c98
0x02BB	0x003d53a8
0x02BC	0x00418cf0
0x02BD	0x003d5400
0x02BE	0x00418f90
0x02BF	0x002d40a0
0x02C0	0x00419088
0x02C1	0x003167b0
0x02C2	0x003167b0
0x02C3	0x003167b0
0x02C4	0x003167b0
0x02C5	0x003167b0
0x02C6	0x003167b0
0x02C7	0x003d5488
0x02C8	0x00419110
0x02C9	0x00419218
0x02CA	0x003d54f8
0x02CB	0x00419380
0x02CC	0x004193e0
0x02CD	0x002d4188
0x02CE	0x003916f0
0x02CF	0x0012c0f8
0x02D0	0x00419438
0x02D1	0x002d4218
0x02D2	0x003d5540
0x02D3	0x002d8198
0x02D4	0x004194c0
0x02D5	0x00419610
0x02D6	0x003d5598
0x02D7	0x003a7d90
0x02D8	0x003d5628
0x02D9	0x003d5750
0x02DA	0x003d5918
0x02DB	0x003b1c50
0x02DC	0x00419730
0x02DD	0x002d8360
0x02DE	0x002d4270
0x02DF	0x002d4380
0x02E0	0x002d4490
0x02E1	0x004197d8
0x02E2	0x003b14b0
0x02E3	0x003b18f8
0x02E4	0x003b18f8
0x02E5	0x003b19c8
0x02E6	0x003b19c8
0x02E7	0x004198c0
0x02E8	0x0036d078
0x02E9	0x003d5980
0x02EA	0x001e3188
0x02EB	0x003d5a58
0x02EC	0x002d45a0
0x02ED	0x002d45f0
0x02EE	0x00419968
0x02EF	0x00419ae0
0x02F0	0x004059d8
0x02F1	0x002d4670
0x02F2	0x003d5ad8
0x02F3	0x003d5bd0
0x02F4	0x003d5c20
0x02F5	0x0036d1e8
0x02F6	0x0036d320
0x02F7	0x002d47a0
0x02F8	0x00419bd8
0x02F9	0x00419cb8
0x02FA	0x003102b8
0x02FB	0x00310348
0x02FC	0x002d47f8
0x02FD	0x002d4838
0x02FE	0x00419d38
0x02FF	0x003d5c88
0x0300	0x003d5d08
0x0301	0x003d5d68
0x0302	0x002d48d0
0x0303	0x00391760
0x0304	0x003167d0
0x0305	0x003167d0
0x0306	0x00310558
0x0307	0x003113c8
0x0308	0x003113c8
0x0309	0x00419db0
0x030A	0x001cc7b0
0x030B	0x001835e8
0x030C	0x00183698
0x030D	0x001837a0
0x030E	0x00419e60
0x030F	0x00419eb0
0x0310	0x00419f58
0x0311	0x003dfd68
0x0312	0x001830a8
0x0313	0x001e31d0
0x0314	0x001e3248
0x0315	0x00184e88
0x0316	0x003d5db8
0x0317	0x0010c8e0
0x0318	0x002d4940
0x0319	0x002d4ad8
0x031A	0x00183168
0x031B	0x003d5e78
0x031C	0x003d5ed0
0x031D	0x00100470
0x031E	0x00100530
0x031F	0x003d5f50
0x0320	0x0041a008
0x0321	0x00310640
0x0322	0x0041c990
0x0323	0x003dcaf0
0x0324	0x0041a0d8
0x0325	0x003d5fa0
0x0326	0x0041a160
0x0327	0x0041a2a0
0x0328	0x003d60a0
0x0329	0x003d61e0
0x032A	0x003d62e8
0x032B	0x0041a3a8
0x032C	0x003106a8
0x032D	0x0041a488
0x032E	0x00184f60
0x032F	0x0041a510
0x0330	0x002d4b48
0x0331	0x0041a588
0x0332	0x0041a610
0x0333	0x003d6358
0x0334	0x003d64e0
0x0335	0x003d6560
0x0336	0x0041a660
0x0337	0x0041a778
0x0338	0x0010ccc0
0x0339	0x0041a9a0
0x033A	0x003b2788
0x033B	0x0041aa28
0x033C	0x003d6778
0x033D	0x00310780
0x033E	0x002d4bf0
0x033F	0x002d4c78
0x0340	0x002d4ca0
0x0341	0x002d4d50
0x0342	0x0041aa78
0x0343	0x0041acb0
0x0344	0x0041aed0
0x0345	0x001831c8
0x0346	0x00310a20
0x0347	0x0041af58
0x0348	0x0041afe0
0x0349	0x0041b068
0x034A	0x0041b178
0x034B	0x003d67c8
0x034C	0x0035c050
0x034D	0x0041b240
0x034E	0x003d68a8
0x034F	0x0041b310
0x0350	0x003d6900
0x0351	0x00184fa0
0x0352	0x0041b3e8
0x0353	0x002c0130
0x0354	0x002d4e00
