# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x01DD	0x002ec340
0x01DE	0x002ec444
0x01DF	0x00081d44
0x01E0	0x00081dc8
0x01E1	0x00081e0c
0x01E2	0x00081e5c
0x01E3	0x00081eac
0x01E4	0x00081f00
0x01E5	0x00081f54
0x01E6	0x00081fa8
0x01E7	0x00081fbc
0x01E8	0x00081ff8
0x01E9	0x0008200c
0x01EA	0x00082050
0x01EB	0x00082064
0x01EC	0x003260f4
0x01ED	0x0007f814
0x01EE	0x00326168
0x01EF	0x002e2cf4
0x01F0	0x0032628c
0x01F1	0x00326390
0x01F2	0x002e2e18
0x01F3	0x000d99cc
0x01F4	0x0007f838
0x01F5	0x0007f8f0
0x01F6	0x002e2e8c
0x01F7	0x001d42c0
0x01F8	0x0018be2c
0x01F9	0x001de044
0x01FA	0x002e308c
0x01FB	0x001db050
0x01FC	0x001db0c0
0x01FD	0x003263f4
0x01FE	0x002e30f4
0x01FF	0x001d4394
0x0200	0x00326470
0x0201	0x002e3168
0x0202	0x0029a84c
0x0203	0x002ec548
0x0204	0x002ec73c
0x0205	0x002ec7b0
0x0206	0x002ec87c
0x0207	0x002ec8f8
0x0208	0x002ec974
0x0209	0x002ec9ec
0x020A	0x002eca68
0x020B	0x00210d50
0x020C	0x00211348
0x020D	0x00326500
0x020E	0x0032663c
0x020F	0x003266b0
0x0210	0x0007f9a8
0x0211	0x0020e6bc
0x0212	0x0020e740
0x0213	0x003267b0
0x0214	0x001d43e4
0x0215	0x001d4440
0x0216	0x0032e860
0x0217	0x0020e7b0
0x0218	0x003268ac
0x0219	0x00004ea8
0x021A	0x0020eab4
0x021B	0x0029c6ac
0x021C	0x003269b4
0x021D	0x002e31e4
0x021E	0x002ecae4
0x021F	0x002ecbec
0x0220	0x00326a38
0x0221	0x0018bed4
0x0222	0x0032ed54
0x0223	0x0029aa90
0x0224	0x0020ebac
0x0225	0x0020ec20
0x0226	0x002eccf4
0x0227	0x0029abec
0x0228	0x0009e2b8
0x0229	0x0020ec94
0x022A	0x0020ed3c
